average_importance,cluster_key,count,dominant_confusion_pair,dominant_label,example_case_ids,failure_type,source_id
8.33,agent_failure_no_baseline|Lichen simplex chronicus->ACK|ACK,6,Lichen simplex chronicus->ACK|lichen simplex chronicus_vs_ack,ACK,"[""PAT_2051_4356"", ""PAT_2025_4229"", ""PAT_1431_1495"", ""PAT_1414_1429"", ""PAT_1278_965""]",agent_failure_no_baseline,hard_case_mining
5.5,agent_failure_no_baseline|Lichen simplex chronicus->SEK|SEK,1,Lichen simplex chronicus->SEK|lichen simplex chronicus_vs_sek,SEK,"[""PAT_1549_1882""]",agent_failure_no_baseline,hard_case_mining
7.25,agent_failure_no_baseline|Malignant Melanoma->ACK|ACK,2,Malignant Melanoma->ACK|malignant melanoma_vs_ack,ACK,"[""PAT_1381_1314"", ""PAT_181_833""]",agent_failure_no_baseline,hard_case_mining
7.75,agent_failure_no_baseline|Malignant Melanoma->BCC|BCC,2,Malignant Melanoma->BCC|malignant melanoma_vs_bcc,BCC,"[""PAT_684_1302"", ""PAT_419_832""]",agent_failure_no_baseline,hard_case_mining
8.62,agent_failure_no_baseline|Malignant Melanoma->NEV|NEV,4,Malignant Melanoma->NEV|malignant melanoma_vs_nev,NEV,"[""PAT_621_1183"", ""PAT_333_1469"", ""PAT_1984_4038"", ""PAT_1842_3615""]",agent_failure_no_baseline,hard_case_mining
7.75,agent_failure_no_baseline|Malignant Melanoma->SEK|SEK,4,Malignant Melanoma->SEK|malignant melanoma_vs_sek,SEK,"[""PAT_1653_2916"", ""PAT_1400_1372"", ""PAT_701_4056"", ""PAT_411_815""]",agent_failure_no_baseline,hard_case_mining
5.5,agent_failure_no_baseline|Psoriasis->ACK|ACK,1,Psoriasis->ACK|psoriasis_vs_ack,ACK,"[""PAT_1074_322""]",agent_failure_no_baseline,hard_case_mining
6.5,agent_failure_no_baseline|Rosacea->ACK|ACK,1,Rosacea->ACK|rosacea_vs_ack,ACK,"[""PAT_1029_135""]",agent_failure_no_baseline,hard_case_mining
6.5,agent_failure_no_baseline|Rosacea->BCC|BCC,1,Rosacea->BCC|rosacea_vs_bcc,BCC,"[""PAT_134_201""]",agent_failure_no_baseline,hard_case_mining
6.5,agent_failure_no_baseline|Seborrheic Dermatitis->ACK|ACK,1,Seborrheic Dermatitis->ACK|seborrheic dermatitis_vs_ack,ACK,"[""PAT_1573_2499""]",agent_failure_no_baseline,hard_case_mining
8.33,agent_failure_no_baseline|Seborrheic Keratosis->ACK|ACK,6,Seborrheic Keratosis->ACK|seborrheic keratosis_vs_ack,ACK,"[""PAT_802_1516"", ""PAT_705_4015"", ""PAT_26_37"", ""PAT_2140_4726"", ""PAT_1423_1472""]",agent_failure_no_baseline,hard_case_mining
8.75,agent_failure_no_baseline|Seborrheic Keratosis->BCC|BCC,4,Seborrheic Keratosis->BCC|seborrheic keratosis_vs_bcc,BCC,"[""PAT_867_1650"", ""PAT_741_1401"", ""PAT_724_1369"", ""PAT_838_1585""]",agent_failure_no_baseline,hard_case_mining
7.62,agent_failure_no_baseline|Seborrheic Keratosis->NEV|NEV,4,Seborrheic Keratosis->NEV|seborrheic keratosis_vs_nev,NEV,"[""PAT_1109_437"", ""PAT_1803_3463"", ""PAT_1276_957"", ""PAT_2088_4524""]",agent_failure_no_baseline,hard_case_mining
8.0,agent_failure_no_baseline|Seborrheic keratosis->SCC|SCC,1,Seborrheic keratosis->SCC|seborrheic keratosis_vs_scc,SCC,"[""PAT_377_1580""]",agent_failure_no_baseline,hard_case_mining
6.5,agent_failure_no_baseline|Solar elastosis->ACK|ACK,1,Solar elastosis->ACK|solar elastosis_vs_ack,ACK,"[""PAT_1006_53""]",agent_failure_no_baseline,hard_case_mining
7.0,agent_failure_no_baseline|Squamous Cell Carcinoma->ACK|ACK,1,Squamous Cell Carcinoma->ACK|squamous cell carcinoma_vs_ack,ACK,"[""PAT_795_1508""]",agent_failure_no_baseline,hard_case_mining
7.75,agent_failure_no_baseline|Squamous Cell Carcinoma->BCC|BCC,2,Squamous Cell Carcinoma->BCC|squamous cell carcinoma_vs_bcc,BCC,"[""PAT_814_1532"", ""PAT_636_1204""]",agent_failure_no_baseline,hard_case_mining
7.0,agent_failure_no_baseline|Squamous Cell Carcinoma->SEK|SEK,1,Squamous Cell Carcinoma->SEK|squamous cell carcinoma_vs_sek,SEK,"[""PAT_107_160""]",agent_failure_no_baseline,hard_case_mining
7.75,agent_failure_no_baseline|Squamous cell carcinoma->ACK|ACK,2,Squamous cell carcinoma->ACK|squamous cell carcinoma_vs_ack,ACK,"[""PAT_359_4450"", ""PAT_263_404""]",agent_failure_no_baseline,hard_case_mining
8.6,agent_failure_no_baseline|Squamous cell carcinoma->BCC|BCC,10,Squamous cell carcinoma->BCC|squamous cell carcinoma_vs_bcc,BCC,"[""PAT_967_1827"", ""PAT_479_919"", ""PAT_430_848"", ""PAT_42_58"", ""PAT_302_651""]",agent_failure_no_baseline,hard_case_mining
7.0,agent_failure_no_baseline|Superficial Spreading Melanoma->BCC|BCC,1,Superficial Spreading Melanoma->BCC|superficial spreading melanoma_vs_bcc,BCC,"[""PAT_98_152""]",agent_failure_no_baseline,hard_case_mining
6.5,agent_failure_no_baseline|Telangiectasia->BCC|BCC,1,Telangiectasia->BCC|telangiectasia_vs_bcc,BCC,"[""PAT_79_120""]",agent_failure_no_baseline,hard_case_mining
5.0,contradiction_heavy_case|no_confusion|ACK,8,none,ACK,"[""PAT_963_1820"", ""PAT_645_4043"", ""PAT_1995_4080"", ""PAT_1989_4061"", ""PAT_1884_3730""]",contradiction_heavy_case,hard_case_mining
3.0,contradiction_heavy_case|no_confusion|NEV,1,none,NEV,"[""PAT_1516_1765""]",contradiction_heavy_case,hard_case_mining
4.5,contradiction_heavy_case|no_confusion|SEK,3,none,SEK,"[""PAT_1902_3790"", ""PAT_1790_3425"", ""PAT_1783_3414""]",contradiction_heavy_case,hard_case_mining
4.5,high_uncertainty_case|no_confusion|ACK,1,none,ACK,"[""PAT_1818_3568""]",high_uncertainty_case,hard_case_mining
6.5,high_uncertainty_case|no_confusion|BCC,7,none,BCC,"[""PAT_944_1795"", ""PAT_875_1668"", ""PAT_55_84"", ""PAT_461_895"", ""PAT_435_854""]",high_uncertainty_case,hard_case_mining
6.0,high_uncertainty_case|no_confusion|MEL,3,none,MEL,"[""PAT_995_1867"", ""PAT_966_1825"", ""PAT_680_1289""]",high_uncertainty_case,hard_case_mining
4.5,high_uncertainty_case|no_confusion|NEV,1,none,NEV,"[""PAT_793_1512""]",high_uncertainty_case,hard_case_mining
6.33,high_uncertainty_case|no_confusion|SCC,6,none,SCC,"[""PAT_882_1677"", ""PAT_714_1337"", ""PAT_549_1043"", ""PAT_492_937"", ""PAT_369_755""]",high_uncertainty_case,hard_case_mining
8.0,shared_failure|Actinic Keratosis->BCC|BCC,1,Actinic Keratosis->BCC|actinic keratosis_vs_bcc,BCC,"[""PAT_460_893""]",shared_failure,hard_case_mining
7.5,shared_failure|Contact dermatitis->ACK|ACK,1,Contact dermatitis->ACK|contact dermatitis_vs_ack,ACK,"[""PAT_1866_3659""]",shared_failure,hard_case_mining
7.5,shared_failure|Plantar wart->SCC|SCC,1,Plantar wart->SCC|plantar wart_vs_scc,SCC,"[""PAT_888_1685""]",shared_failure,hard_case_mining
8.0,shared_failure|Squamous Cell Carcinoma->BCC|BCC,1,Squamous Cell Carcinoma->BCC|squamous cell carcinoma_vs_bcc,BCC,"[""PAT_918_1742""]",shared_failure,hard_case_mining
